current_tick,Admission,Assign,Diagnose,Discharge,Recovery,Transfer,Treatment
56,0,1,0,0,0,0,0
57,0,1,0,0,0,0,0
58,0,1,0,0,0,0,0
59,0,1,0,0,0,0,0
60,1,0,0,0,0,0,0
61,1,0,0,0,0,0,0
62,1,0,0,0,0,0,0
63,1,0,0,0,0,0,0
64,1,0,0,0,0,0,0
65,1,0,0,0,0,0,0
66,1,0,0,0,0,0,0
67,1,0,0,0,0,0,0
68,1,0,0,0,0,0,0
69,1,0,0,0,0,0,0
70,0,0,1,0,0,0,0
71,0,0,1,0,0,0,0
72,0,0,1,0,0,0,0
73,0,0,1,0,0,0,0
74,0,0,1,0,0,0,0
75,0,0,1,0,0,0,0
76,0,0,1,0,0,0,0
77,0,0,0,0,0,0,1
78,0,0,0,0,0,0,1
79,0,0,0,0,0,0,1
80,0,0,0,0,0,0,1
81,0,0,0,0,0,0,1
82,0,0,0,0,0,0,1
83,0,0,0,0,0,0,1
84,0,0,0,0,0,0,1
85,0,0,0,0,0,0,1
86,0,0,0,0,0,0,1
87,0,0,0,0,0,0,1
88,0,0,0,0,0,0,1
89,0,0,0,0,0,0,1
90,0,0,0,0,0,0,1
91,0,0,0,0,0,0,1
92,0,0,0,0,0,0,1
93,0,0,0,0,0,0,1
94,0,0,0,0,0,0,1
95,0,0,0,0,0,0,1
96,0,0,0,0,0,0,1
97,0,0,0,0,0,0,1
98,0,0,0,0,0,0,1
99,0,0,0,0,0,0,1
100,0,0,0,0,0,0,1
101,0,0,0,0,0,0,1
102,0,0,0,0,0,0,1
103,0,0,0,0,0,0,1
104,0,0,0,0,0,0,1
105,0,0,0,0,0,0,1
106,0,0,0,0,0,0,1
107,0,0,0,0,1,0,0
108,0,0,0,0,1,0,0
109,0,0,0,0,1,0,0
110,0,0,0,0,1,0,0
111,0,0,0,0,1,0,0
112,0,0,0,0,1,0,0
113,0,0,0,0,1,0,0
114,0,0,0,0,1,0,0
115,0,0,0,0,1,0,0
116,0,0,0,0,1,0,0
117,0,0,0,0,1,0,0
118,0,0,0,0,1,0,0
119,0,0,0,0,1,0,0
120,0,0,0,0,1,0,0
121,0,0,0,0,1,0,0
122,0,0,0,0,1,0,0
123,0,0,0,0,1,0,0
124,0,0,0,0,0,0,1
125,0,0,0,0,0,0,1
126,0,0,0,0,0,0,1
127,0,0,0,0,0,0,1
128,0,0,0,0,0,0,1
129,0,0,0,0,0,0,1
130,0,0,0,0,0,0,1
131,0,0,0,0,0,0,1
132,0,0,0,0,0,0,1
133,0,0,0,0,0,0,1
134,0,0,0,0,0,0,1
135,0,0,0,0,0,0,1
136,0,0,0,0,0,0,1
137,0,0,0,0,0,0,1
138,0,0,0,0,0,0,1
139,0,0,0,0,0,0,1
140,0,0,0,0,0,0,1
141,0,0,0,0,0,0,1
142,0,0,0,0,0,0,1
143,0,0,0,0,0,0,1
144,0,0,0,0,0,0,1
145,0,0,0,0,0,0,1
146,0,0,0,0,0,0,1
147,0,0,0,0,0,0,1
148,0,0,0,0,0,0,1
149,0,0,0,0,0,0,1
150,0,0,0,0,0,0,1
151,0,0,0,0,0,0,1
152,0,0,0,0,0,0,1
153,0,0,0,0,0,0,1
154,0,0,0,0,0,0,1
155,0,0,0,0,0,0,1
156,0,0,0,0,0,0,1
